album_id,album_date_created,album_date_released,album_favorites,album_listens,album_title,album_tracks,album_type,artist_name
10186,10-03-2011 05:03,08-04-2011,1,4889,"Dust Particles, Volume One",11,Album,Various Artists (Angel Dust Records)
10187,10-03-2011 08:21,10-01-2011,2,18404,Sleepwalkers Walk Alone,6,Album,Manuele Atzeni
10188,10-03-2011 10:25,10-03-2011,0,7863,Dans Les Terres,11,Album,Syndrôm
10189,10-03-2011 12:31,NA,0,5898,In My House,5,Album,Audio K
10190,10-03-2011 18:34,NA,0,907,Ten Thousand Hours,1,NA,Elliott Sharp
10191,10-04-2011 04:53,8/25/2011,0,18170,Dub Lab,8,Album,DuBoLoGy
10192,10-04-2011 05:53,9/28/2011,0,6285,Life is inna riddim,8,Album,Friglob
10193,10-04-2011 07:33,4/29/2011,2,18104,A thousand furious bees,11,Album,Mister Beep
10194,10-04-2011 12:58,NA,0,2176,Urban Assault Vehicle,2,Album,"Joe McPhee with Roy Campbell, Joe Giardullo, Dominic Duval, Mike Bisio, Jay Rosen"
10195,10-04-2011 13:31,NA,0,2313,Composition No. 183,1,Album,Anthony Braxton
10196,10-04-2011 13:48,10-04-2011,1,3262,Directed Numbers [noise],7,NA,junior85
10198,10-04-2011 18:10,NA,5,11637,Don't Let Your Baby Have All the Fun,26,Album,The Sun
10199,10-04-2011 19:41,NA,0,1378,Psychedellic Saturday,1,Album,Where the Moon Came From
102,11/26/2008 01:56:04 AM,01-08-2009,1,4418,Black Elk,3,Single Tracks,Black Elk
10200,10-04-2011 20:25,NA,2,9539,Twin of Pangaea,7,Album,Where the Moon Came From
10201,10-05-2011 04:42,01-01-1999,0,523,Home cookin',4,Album,Assif Tsahar
10203,10-05-2011 05:41,01-01-2003,0,428,"Ma, live fondation Miro",4,Album,Assif Tsahar
10204,10-05-2011 07:18,10-05-2011,0,2686,WHNZ:31:TIWIB,5,Album,Francesco Paolo Addati & Efisio Nicolò Sabiucciu
10205,10-05-2011 08:58,10-05-2011,0,3092,Geeks and Parasites,6,Album,Kingstux
10207,10-05-2011 17:01,NA,0,32885,Ulqutushuy3,15,Album,varios artistas
10208,10-05-2011 19:07,10-05-2011,2,4726,Club Dirt,10,Album,Phemale
10210,10-06-2011 00:22,NA,1,494,Refried Dreams,2,Album,Cheater Slicks
10211,10-06-2011 07:19,NA,0,923,Our Food Is Chaos,1,Album,Cheater Slicks
10212,10-06-2011 07:41,NA,1,1237,Walk Into the Sea,1,Album,Cheater Slicks
10213,10-06-2011 09:52,NA,1,3172,Sep-11,10,Album,Clinical Archives Mix
10214,10-06-2011 17:48,NA,1,541,Andrew Cyrille & Richard Teitelbaum,1,Album,Andrew Cyrille & Richard Teitelbaum
10215,10-07-2011 09:30,10-07-2011,1,8328,Heavy Mandolin,10,Album,Ryan Hardy
10216,10-07-2011 11:00,10-03-2011,0,1448,Bad Panda #102,1,Album,Le Chevalier
10217,10-07-2011 15:02,6/21/2011,20,146798,Shangri-La (Instrumentals),10,Album,YACHT
10219,10-07-2011 22:28,NA,2,24343,Cosmic Conspiracy,6,Album,Starseed
1022,12-04-2008 09:27,7/19/2005,3,7486,Live at WFMU on Brian Turner's Show on 7/19/2005,8,Radio Program,Afrirampo
10220,10-09-2011 09:03,03-04-2009,0,6158,Межгалактическaя Прогулка,9,Album,Тиаз Ич
10222,10-10-2011 05:21,NA,0,419,Live at Cafe OTO,1,Live Performance,Steve Noble & Frode Gjerstad
10223,10-10-2011 15:33,10-10-2011,1,5870,Trick Or Treat,2,Album,Lee Rosevere
10224,10-11-2011 03:24,NA,0,18398,songs from the sewer,7,Album,cloud mouth
10225,10-11-2011 03:41,NA,1,37614,lambs quarters,4,Album,cloud mouth
10226,10-11-2011 07:26,NA,0,75569,Noisewaves,6,Album,Noisewaves
10227,10-11-2011 10:00,05-07-2011,0,657,"Live at Feeding Tube Records May 7, 2011",1,Album,Prana-Bindu
10228,10-11-2011 11:30,10-10-2011,2,20507,Bad Panda #103,4,Album,Monday Night Fever
10229,10-11-2011 16:06,10-07-2011,7,10276,"Live at WFMU on The Long Rally With Scott McDowell October 7, 2011",3,Live Performance,Steve Gunn
10230,10-11-2011 17:13,10-05-2011,1,2659,"Live at WFMU on The Evan ""Funk"" Davies Show October 5, 2011",11,Live Performance,Notekillers
10232,10-12-2011 10:14,10/25/2011,0,7015,Favorites 02: Eric Copeland,17,Album,Benji Cossa
10233,10-12-2011 12:27,9/25/2011,0,4435,"Live at WFMU on Gaylord Fields' Show on September 25, 2011",6,Radio Program,Bird of Youth
10234,10-12-2011 14:15,10-02-2011,0,7284,"Live at WFMU on Beastin' The Airwaves! with Keili on October 2, 2011",11,Radio Program,Jealousy
10235,10-12-2011 14:38,9/27/2011,1,22793,netBloc Vol. 34: The Whitewash,14,Album,netBloc Artists
10236,10-12-2011 15:26,10-11-2011,0,1689,"Live at WFMU on Brian Turner's Show on October 11, 2011",4,Radio Program,Dan Melchior und Das Menace
10237,10-12-2011 16:32,10-01-2011,0,3527,"Live at WFMU on the Cherry Blossom Clinic with Terre T. on October 1, 2011",8,Radio Program,Sorrows
10238,10-12-2011 23:43,10-01-2011,1,5691,Drums Over London,2,Album,Disco Zombies
10239,10/13/2011 08:50:34 AM,10-11-2011,1,5036,Infinity,8,Album,BADLUCK
10242,10/14/2011 11:50:47 AM,NA,3,4636,"Live at WFMU on Talk's Cheap, Oct 13th 2011",8,Album,Asian Women on the Telephone
10247,10/15/2011 12:31:26 PM,9/21/2011,0,1753,"Live at CKUT on If You Got Ears, September 21 2011",2,Radio Program,Tonstartssbandht
10248,10/15/2011 09:05:52 PM,10/16/2011,1,2931,[ROMB],9,Album,THKAD
10249,10/16/2011 09:09:38 AM,NA,0,8055,entre Mozart et les grands sauriens,10,Album,MOZAURE
10251,10/16/2011 03:32:19 PM,NA,0,406,Live at CKUT on New Shit October 2010,3,Radio Program,Vagina Bison
10252,10/17/2011 08:25:05 PM,10/18/2011,0,2990,WHNZ:29:STOMAC,19,Album,Charles Curse
10253,10/18/2011 11:53:32 AM,10/17/2011,5,19147,Carbon,13,Album,Global Goon
10254,10/18/2011 03:20:10 PM,9/16/2011,0,4197,"Live at WFMU on The Cherry Blossom Clinic with Terre T. October 15, 2011",5,Live Performance,Sloan
10256,10/18/2011 05:19:09 PM,NA,2,44785,Sundowners,8,Album,Austin Leonard Jones
10257,10/18/2011 05:34:14 PM,9/29/2011,0,784,"Live at WFMU on Talk's Cheap with Jason Sigal September 29, 2011",2,Live Performance,Fat History Month
10258,10/18/2011 06:19:36 PM,9/29/2011,0,3593,"Live at WFMU on Talk's Cheap with Jason Sigal September 29, 2011",8,Live Performance,Kitchen's Floor
10259,10/19/2011 12:03:56 PM,10/17/2011,0,12504,Burkina Faso: Festi 40 Unreleased Recordings,0,Album,FESTI 40 music festival
10260,10/19/2011 12:15:06 PM,10/16/2011,2,4794,"Live at WFMU on Gaylord Field's Show on October 16, 2011",6,Radio Program,The Olivia Tremor Control
10261,10/19/2011 01:06:57 PM,9/29/2011,0,1656,"Live at WFMU on the Three Chord Monte Show with Joe Belock on September 29, 2011",1,Radio Program,Mikal Cronin
10262,10/19/2011 01:47:40 PM,NA,0,16728,"Live on My Castle of Quiet on WFMU, 10.7.2011",15,Album,The Black Twilight Circle - Various Artists
10263,10/19/2011 03:22:50 PM,10/18/2011,1,1736,"Live at WFMU on Marty McSorley's Show on October 18, 2011",7,Radio Program,Chapter 24
10264,10/19/2011 04:33:34 PM,10/16/2011,0,9257,"Live at WFMU on Beastin' The Airwaves! with Keili on October 16, 2011",15,Radio Program,Starscream
10265,10/19/2011 11:34:57 PM,10-11-2011,1,12611,La Continuidad,31,Album,Ada Rave Cuarteto
10266,10/20/2011 12:41:25 AM,NA,0,5035,Rage158,8,Album,Radio Shock
10269,10/21/2011 08:04:17 AM,10/21/2011,0,3554,Just Kids,3,Album,Nineteen Eight Eight
10270,10/21/2011 05:52:37 PM,10/21/2011,1,5190,Midnight Morning Glory,4,Album,Telegraphy
10272,10/21/2011 09:35:00 PM,NA,0,1568,WFMU Session with Liz B,9,Album,The Polyps
10273,10/22/2011 06:31:45 PM,NA,0,1636,Daevid Loyza is a living Buddha,30,Album,OsO El roTo
10277,10/24/2011 12:11:35 PM,NA,1,11995,Un PIOU PIOU parmi tant d'autres,14,Album,Alaclair Ensemble
10278,10/24/2011 01:19:50 PM,NA,0,47916,Le roé c'est moé,14,Album,Alaclair Ensemble
10279,10/24/2011 01:50:08 PM,10/24/2011,0,2741,Vengeance,8,Album,Jacques Cochise
10280,10/24/2011 02:17:19 PM,NA,1,10555,Touladis,12,Album,Alaclair Ensemble
10281,10/24/2011 04:37:48 PM,1/13/2009,1,26433,Microhorror Compilation Vol.2,21,Album,Dr. Von Pnok
10282,10/24/2011 06:35:37 PM,NA,0,11455,la colline et la corde,9,Album,L' Amicale du Tigrou
10284,10/24/2011 07:06:48 PM,NA,0,414,Tuv Enuv,3,Album,Mincemeat or Tenspeed
10286,10/24/2011 11:03:15 PM,NA,1,48098,Zombies Ate My Neighbors,8,Album,Dylan Palme
10287,10/24/2011 11:24:25 PM,NA,1,9202,Come Uccidere Una Dancera In Cinque Semplici Passi,5,Album,Mesu Kasumai
10288,10/24/2011 11:45:17 PM,NA,0,2601,Cha-Cha-Cha With The Devil,9,Album,Das Gritli Moser
10290,10/25/2011 01:52:44 AM,01-01-2008,1,11724,Hand-Rolled Oblivion,53,Album,Various Artists [mymwly]
10291,10/25/2011 09:52:33 AM,10/24/2011,3,8776,Reset All Systems,13,Album,Mastermind XS
10292,10/25/2011 11:55:29 AM,NA,1,17719,FATHER | SON,7,Album,The Kyoto Connection
10293,10/25/2011 12:21:47 PM,10/22/2011,0,1269,"Live at WFMU on Terre T's Cherry Blossom Clinic, Oct 22nd 2011",6,Radio Program,Zounds
10294,10/25/2011 12:39:23 PM,10/22/2011,1,3899,"Live on Terre T's Cherry Blossom Clinic at WFMU, Oct 22nd 2011",6,Radio Program,Wild Flag
10295,10/25/2011 01:56:42 PM,NA,0,18062,No Headphones Required,33,Album,The Kyoto Connection
10296,10/25/2011 02:16:40 PM,10/18/2011,0,840,Random Patterns,1,Album,Köhn
10297,10/25/2011 03:16:32 PM,NA,0,19792,The Second Voyage,10,Album,The Kyoto Connection
10298,10/25/2011 03:39:10 PM,10/22/2011,1,11118,The EPs XE,21,Album,Garmisch
10299,10/25/2011 05:15:28 PM,08-10-2011,2,35240,Dubious Luxury,18,Album,Mike Doughty
1030,12-04-2008 09:28,7/29/2006,0,2697,Live at WFMU on Terre T's Show on 7/29/2006,9,Live Performance,The Cynics
10303,10/26/2011 12:24:49 PM,NA,0,2783,Split Tape,4,Album,The Charts
10304,10/26/2011 12:40:19 PM,NA,0,10666,Archers EP,2,Album,Archers
10305,10/26/2011 01:05:00 PM,10-09-2011,0,8078,"Live at WFMU on Beastin' The Airwaves with Keili on October 9, 2011",8,Radio Program,The Soft Moon
10306,10/26/2011 01:19:24 PM,NA,0,18829,The First Voyage,9,Album,The Kyoto Connection
10308,10/26/2011 02:29:24 PM,10-03-2011,0,3163,"Live at WFMU on Liz Berg's Show on October 3, 2011",9,Radio Program,Bird Names
10309,10/26/2011 03:41:49 PM,NA,0,4854,Waves,40,Album,3.2032E+11
10310,10/26/2011 03:52:18 PM,NA,0,1270,Split Tape,1,Album,Besties
10311,10/26/2011 04:05:30 PM,10-06-2011,0,1805,"Live at WFMU on Three Chord Monty with Joe Belock on October 6, 2011",12,Radio Program,Mighty Fine
10312,10/26/2011 05:52:59 PM,NA,0,480,Majic Eyes EP,1,Album,Majic Eyes
10313,10/26/2011 10:36:07 PM,05-01-2011,0,2975,Crystal,2,Album,Stan Hubbs
10315,10/27/2011 09:50:42 PM,NA,0,1308,Eggy Tape,2,Album,Mad Nanna
